dept_code,n,taux_reel,taux_predit,cible,reseau,erreur_pts
0204,1583,0.7037271004421983,0.7978587,fdsm124,électricité,9.413161461517472
0205,954,0.7285115303983228,0.79510343,fdsm124,électricité,6.659190034966301
0206,1355,0.6383763837638377,0.7890172,fdsm124,électricité,15.064081670613305
0207,2354,0.9107901444350043,0.78279376,fdsm124,électricité,-12.799638413532167
0208,2784,0.5061063218390804,0.74597955,fdsm124,électricité,23.98732256615299
0209,699,0.3905579399141631,0.6939732,fdsm124,électricité,30.34152437177339
0210,1611,0.771570453134699,0.78444666,fdsm124,électricité,1.287620356925001
0211,646,0.47987616099071206,0.5978995,fdsm124,électricité,11.80233355646163
0301,22495,0.6659257612802845,0.7798197,fdsm124,électricité,11.389396566368525
0302,9304,0.6601461736887361,0.7466383,fdsm124,électricité,8.64921243459319
0401,24241,0.724846334722165,0.78767586,fdsm124,électricité,6.282952282178034
0402,8846,0.6822292561609767,0.7399321,fdsm124,électricité,5.770286368536725
0403,3791,0.5296755473489845,0.7056323,fdsm124,électricité,17.59567816381371
0404,2301,0.33202955236853543,0.68931013,fdsm124,électricité,35.72805810886484
0405,4517,0.6920522470666371,0.78578097,fdsm124,électricité,9.372871921525372
0406,2750,0.6887272727272727,0.67951685,fdsm124,électricité,-0.9210420825264687
0407,6430,0.6360808709175739,0.7484069,fdsm124,électricité,11.232601613686944
0408,1071,0.2689075630252101,0.6527377,fdsm124,électricité,38.38301140721105
0409,588,0.5306122448979592,0.6909405,fdsm124,électricité,16.032825440776588
0501,13096,0.7681734880879658,0.7728161,fdsm124,électricité,0.4642633490250736
0502,2875,0.45182608695652177,0.6958357,fdsm124,électricité,24.40096226153166
0503,2412,0.4539800995024876,0.6774614,fdsm124,électricité,22.348128622444115
0504,1316,0.5326747720364742,0.66009265,fdsm124,électricité,12.74178798075505
0505,398,0.49748743718592964,0.7312557,fdsm124,électricité,23.376827293903986
0506,1120,0.4089285714285714,0.65470165,fdsm124,électricité,24.577307871409825
0601,14165,0.7582774444052242,0.80581343,fdsm124,électricité,4.753598733458297
0602,4787,0.73553373720493,0.72937095,fdsm124,électricité,-0.6162785552403127
0603,3480,0.43333333333333335,0.7138259,fdsm124,électricité,28.04925481478373
0604,1927,0.5189413596263622,0.79238486,fdsm124,électricité,27.344350327341804
